timestamp,event_type,user,ip
2026-06-15 08:00:00,LOGIN_SUCCESS,admin,192.168.1.100
2026-06-15 08:30:00,LOGIN_SUCCESS,alice,10.0.0.50
2026-06-15 09:00:00,FAILED_LOGIN,alice,203.0.113.50
2026-06-15 09:00:05,FAILED_LOGIN,bob,203.0.113.50
2026-06-15 09:00:10,FAILED_LOGIN,carol,203.0.113.50
2026-06-15 09:00:15,FAILED_LOGIN,dave,203.0.113.50
2026-06-15 09:00:20,FAILED_LOGIN,eve,203.0.113.50
2026-06-15 09:05:00,FAILED_LOGIN,svc_app,203.0.113.50
2026-06-15 09:05:03,FAILED_LOGIN,svc_app,203.0.113.50
2026-06-15 09:05:06,FAILED_LOGIN,svc_app,203.0.113.50
2026-06-15 09:05:09,FAILED_LOGIN,svc_app,203.0.113.50
2026-06-15 09:05:12,FAILED_LOGIN,svc_app,203.0.113.50
2026-06-15 09:05:15,LOGIN_SUCCESS,svc_app,203.0.113.50
2026-06-15 09:06:00,PRIVILEGE_GRANTED,svc_app,203.0.113.50
2026-06-15 09:10:00,FILE_ACCESS,svc_app,203.0.113.50
2026-06-15 09:11:00,FILE_ACCESS,svc_app,203.0.113.50
2026-06-15 09:12:00,FILE_ACCESS,svc_app,203.0.113.50
2026-06-15 09:13:00,LARGE_DOWNLOAD,svc_app,203.0.113.50
2026-06-15 10:00:00,LOGIN_SUCCESS,admin,192.168.1.100
